Age,Annual Income,Gender,Home Owner,Marital Status,Monthly Billed Amount,Uses Voice Service
12,227539,Female,Yes,Married,88,Yes
25,148780,Male,Yes,Single,19,No
25,148780,Male,Yes,Single,19,No
62,233683,Male,Yes,Single,5,No
62,233683,Male,Yes,Single,5,No
52,242023,Female,Yes,Married,16,No
52,242023,Female,Yes,Married,16,No
45,33489,Female,Yes,Single,13,Yes
45,33489,Female,Yes,Single,13,Yes
22,120588,Male,Yes,Single,93,No
22,120588,Male,Yes,Single,93,No
15,183885,Female,Yes,Single,76,No
15,183885,Female,Yes,Single,76,No
12,85266,Female,Yes,Married,14,Yes
12,85266,Female,Yes,Married,14,Yes
33,204506,Female,Yes,Single,83,No
33,204506,Female,Yes,Single,83,No
30,117184,Female,Yes,Married,22,No
30,117184,Female,Yes,Married,22,No
76,204282,Male,Yes,Married,102,No
76,204282,Male,Yes,Married,102,No
41,233467,Male,Yes,Married,103,No
41,233467,Male,Yes,Married,103,No
18,38201,Male,Yes,Married,92,No
18,38201,Male,Yes,Married,92,No
27,99527,Female,Yes,Single,82,No
27,99527,Female,Yes,Single,82,No
24,908,Female,Yes,Married,20,No
24,908,Female,Yes,Married,20,No
27,67161,Female,Yes,Single,111,No
27,67161,Female,Yes,Single,111,No
15,20544,Female,No,Single,32,No
15,20544,Female,No,Single,32,No
54,192770,Female,Yes,Single,79,No
54,192770,Female,Yes,Single,79,No
31,236207,Female,Yes,Married,69,No
31,236207,Female,Yes,Married,69,No
31,236207,Female,Yes,Married,69,No
19,157224,Male,Yes,Married,19,No
19,157224,Male,Yes,Married,19,No
37,177845,Female,Yes,Married,27,No
37,177845,Female,Yes,Married,27,No
48,44129,Male,No,Married,107,No
48,44129,Male,No,Married,107,No
42,140553,Male,Yes,Married,75,No
42,140553,Male,Yes,Married,75,No
42,140553,Male,Yes,Married,75,No
41,96891,Female,Yes,Single,104,No
41,96891,Female,Yes,Single,104,No
28,6612,Male,No,Single,54,No
28,6612,Male,No,Single,54,No
33,186954,Male,Yes,Married,12,No
33,186954,Male,Yes,Married,12,No
15,133968,Male,Yes,Married,33,No
15,133968,Male,Yes,Married,33,No
41,215915,Female,Yes,Single,31,Yes
41,215915,Female,Yes,Single,31,Yes
38,117296,Male,No,Married,89,No
38,117296,Male,No,Married,89,No
16,204395,Female,Yes,Married,49,No
16,204395,Female,Yes,Married,49,No
58,192875,Female,Yes,Single,68,Yes
58,192875,Female,Yes,Single,68,Yes
79,62115,Male,Yes,Married,17,No
79,62115,Male,Yes,Married,17,No
49,201214,Female,Yes,Married,79,No
49,201214,Female,Yes,Married,79,No
32,181355,Male,No,Single,86,No
32,181355,Male,No,Single,86,No
16,24822,Male,Yes,Married,65,No
16,24822,Male,Yes,Married,65,No
62,111921,Female,Yes,Married,25,Yes
62,111921,Female,Yes,Married,25,Yes
40,210316,Female,Yes,Married,106,No
40,210316,Female,Yes,Married,106,No
73,207135,Male,Yes,Married,16,No
73,207135,Male,Yes,Married,16,No
49,239276,Female,Yes,Single,5,No
45,140658,Female,Yes,Married,63,Yes
45,140658,Female,Yes,Married,63,Yes
77,126181,Male,No,Single,93,Yes
77,126181,Male,No,Single,93,Yes
33,50378,Female,Yes,Single,13,No
33,50378,Female,Yes,Single,13,No
31,245421,Male,Yes,Single,42,No
31,245421,Male,Yes,Single,42,No
28,158098,Male,Yes,Single,101,No
28,158098,Male,Yes,Single,101,No
14,56523,Male,Yes,Single,51,No
14,56523,Male,Yes,Single,51,No
61,154918,Female,No,Single,11,No
61,154918,Female,No,Single,11,No
61,154918,Female,No,Single,11,No
78,164243,Male,Yes,Single,19,No
78,164243,Male,Yes,Single,19,No
55,1342,Female,Yes,Single,99,No
55,1342,Female,Yes,Single,99,No
35,143398,Male,Yes,Married,29,No
35,143398,Male,Yes,Married,29,No
19,236865,Male,Yes,Married,8,No
19,236865,Male,Yes,Married,8,No
17,181908,Female,Yes,Single,38,No
17,181908,Female,Yes,Single,38,No
30,239822,Male,Yes,Single,117,No
30,239822,Male,Yes,Single,117,No
30,239822,Male,Yes,Single,117,No
20,248161,Female,Yes,Single,9,No
20,248161,Female,Yes,Single,9,No
20,248161,Female,Yes,Single,9,No
16,138246,Male,Yes,Single,67,No
16,138246,Male,Yes,Single,67,No
21,9457,Female,Yes,Single,9,No
21,9457,Female,Yes,Single,9,No
15,94585,Female,Yes,Married,96,No
15,94585,Female,Yes,Married,96,No
36,213825,Female,Yes,Married,46,No
36,213825,Female,Yes,Married,46,No
25,178503,Female,Yes,Married,86,No
25,178503,Female,Yes,Married,86,No
51,157658,Male,Yes,Single,97,No
51,157658,Male,Yes,Single,97,No
14,131885,Female,Yes,Married,7,No
14,131885,Female,Yes,Married,7,No
26,189799,Male,Yes,Married,86,No
26,189799,Male,Yes,Married,86,No
26,189799,Male,Yes,Married,86,No
78,33266,Male,Yes,Single,65,No
78,33266,Male,Yes,Single,65,No
29,97549,Female,Yes,Single,44,No
29,97549,Female,Yes,Single,44,No
31,120141,Male,Yes,Married,44,No
31,120141,Male,Yes,Married,44,No
15,213608,Male,Yes,Married,23,No
15,213608,Male,Yes,Married,23,No
69,248706,Female,Yes,Single,1,Yes
69,248706,Female,Yes,Single,1,Yes
39,137806,Male,Yes,Single,63,No
39,137806,Male,Yes,Single,63,No
36,82848,Female,No,Married,92,Yes
36,82848,Female,No,Married,92,Yes
34,27891,Female,Yes,Single,1,No
34,27891,Female,Yes,Single,1,No
34,27891,Female,Yes,Single,1,No
58,202088,Female,Yes,Single,41,No
58,202088,Female,Yes,Single,41,No
24,242569,Female,Yes,Single,42,No
24,242569,Female,Yes,Single,42,No
24,242569,Female,Yes,Single,42,No
12,82625,Male,No,Single,111,No
12,82625,Male,No,Single,111,No
12,82625,Male,No,Single,111,No
20,143951,Female,Yes,Married,101,Yes
20,143951,Female,Yes,Married,101,Yes
34,76487,Male,Yes,Single,32,No
34,76487,Male,Yes,Single,32,No
74,10010,Male,No,Single,80,No
74,10010,Male,No,Single,80,No
14,186178,Male,Yes,Married,112,No
14,186178,Male,Yes,Married,112,No
14,186178,Male,Yes,Married,112,No
45,160406,Male,No,Single,22,No
45,160406,Male,No,Single,22,No
68,84603,Male,Yes,Single,62,No
66,29646,Male,Yes,Single,91,No
66,29646,Male,Yes,Single,91,No
44,116744,Female,Yes,Single,51,No
44,116744,Female,Yes,Single,51,No
20,160182,Female,Yes,Married,41,No
20,160182,Female,Yes,Married,41,No
33,81423,Female,Yes,Single,92,No
33,81423,Female,Yes,Single,92,No
36,147676,Female,No,Married,63,No
36,147676,Female,No,Married,63,No
14,234775,Male,No,Single,23,No
14,234775,Male,No,Single,23,No
26,112354,Male,No,Single,104,No
26,112354,Male,No,Single,104,No
26,112354,Male,No,Single,104,No
23,57397,Male,Yes,Married,13,No
23,57397,Male,Yes,Married,13,No
23,57397,Male,Yes,Married,13,No
19,197482,Female,Yes,Married,71,No
19,197482,Female,Yes,Married,71,No
19,197482,Female,Yes,Married,71,No
22,13736,Female,Yes,Single,42,No
22,13736,Female,Yes,Single,42,No
15,77033,Male,No,Married,24,No
15,77033,Male,No,Married,24,No
61,164131,Female,Yes,Married,105,No
61,164131,Female,Yes,Married,105,No
32,86358,Female,Yes,Single,32,No
32,86358,Female,Yes,Single,32,No
49,117514,Male,Yes,Married,25,No
49,117514,Male,Yes,Married,25,No
49,117514,Male,Yes,Married,25,No
37,207569,Female,Yes,Single,94,No
37,207569,Female,Yes,Single,94,No
37,207569,Female,Yes,Single,94,No
26,160951,Male,Yes,Single,14,No
26,160951,Male,Yes,Single,14,No
26,160951,Male,Yes,Single,14,No
29,227204,Female,Yes,Single,105,No
29,227204,Female,Yes,Single,105,No
26,172247,Female,Yes,Married,15,Yes
26,172247,Female,Yes,Married,15,Yes
35,233573,Male,No,Single,4,No
35,233573,Male,No,Single,4,No
12,27010,Male,No,Single,114,No
12,27010,Male,No,Single,114,No
27,3209,Male,Yes,Married,16,No
27,3209,Male,Yes,Married,16,No
26,209547,Female,Yes,Married,45,Yes
26,209547,Female,Yes,Married,45,Yes
22,100394,Female,Yes,Single,118,No
22,100394,Female,Yes,Single,118,No
17,196818,Male,Yes,Single,86,No
17,196818,Male,Yes,Single,86,No
57,152171,Male,No,Married,119,No
57,152171,Male,No,Married,119,No
57,152171,Male,No,Married,119,No
63,114878,Male,No,Married,47,Yes
63,114878,Male,No,Married,47,Yes
52,79556,Male,Yes,Married,88,No
52,79556,Male,Yes,Married,88,No
19,131333,Male,Yes,Single,89,No
19,131333,Male,Yes,Single,89,No
45,110488,Female,Yes,Married,100,No
45,110488,Female,Yes,Married,100,No
19,98968,Female,Yes,Single,118,No
19,98968,Female,Yes,Single,118,No
30,215252,Male,No,Single,79,No
30,215252,Male,No,Single,79,No
30,215252,Male,No,Single,79,No
31,226548,Female,Yes,Single,79,No
31,226548,Female,Yes,Single,79,No
79,118604,Female,Yes,Married,10,No
79,118604,Female,Yes,Married,10,No
22,234887,Male,Yes,Married,90,No
22,234887,Male,Yes,Married,90,No
67,71986,Female,Yes,Single,50,Yes
67,71986,Female,Yes,Single,50,Yes
66,28325,Male,Yes,Married,80,No
66,28325,Male,Yes,Married,80,No
39,5509,Female,Yes,Married,98,No
39,5509,Female,Yes,Married,98,No
26,165229,Male,Yes,Married,48,No
26,165229,Male,Yes,Married,48,No
30,231483,Male,Yes,Single,19,No
30,231483,Male,Yes,Single,19,No
30,231483,Male,Yes,Single,19,No
26,132864,Male,Yes,Married,78,No
26,132864,Male,Yes,Married,78,No
40,65401,Female,No,Single,9,No
40,65401,Female,No,Single,9,No
36,205486,Female,Yes,Single,67,No
36,205486,Female,Yes,Single,67,No
14,53881,Female,Yes,Married,28,No
14,53881,Female,Yes,Married,28,No
30,30079,Female,No,Married,50,No
30,30079,Female,No,Married,50,No
25,170165,Male,Yes,Married,108,No
25,170165,Male,Yes,Married,108,No
29,67380,Female,Yes,Married,80,No
29,67380,Female,Yes,Married,80,No
35,210421,Female,Yes,Single,7,No
35,210421,Female,Yes,Single,7,No
44,33044,Female,Yes,Single,117,No
44,33044,Female,Yes,Single,117,No
34,247722,Female,Yes,Single,38,No
34,247722,Female,Yes,Single,38,No
39,118933,Female,Yes,Single,100,Yes
39,118933,Female,Yes,Single,100,Yes
31,160399,Female,Yes,Married,97,No
31,160399,Female,Yes,Married,97,No
65,200880,Male,Yes,Married,97,No
65,200880,Male,Yes,Married,97,No
63,145923,Male,Yes,Married,6,No
63,145923,Male,Yes,Married,6,No
56,176854,Female,Yes,Single,18,No
56,176854,Female,Yes,Single,18,No
56,176854,Female,Yes,Single,18,No
54,133193,Male,Yes,Single,47,No
54,133193,Male,Yes,Single,47,No
54,133193,Male,Yes,Single,47,No
34,25249,Male,Yes,Married,98,No
34,25249,Male,Yes,Married,98,No
30,165334,Female,Yes,Married,37,No
30,165334,Female,Yes,Married,37,No
29,121673,Male,Yes,Single,66,No
29,121673,Male,Yes,Single,66,No
29,121673,Male,Yes,Single,66,No
57,8578,Male,Yes,Single,34,No
57,8578,Male,Yes,Single,34,No
31,247058,Female,Yes,Married,53,No
31,247058,Female,Yes,Married,53,No
50,39509,Female,Yes,Single,46,No
50,39509,Female,Yes,Single,46,No
23,16693,Male,Yes,Single,64,No
23,16693,Male,Yes,Single,64,No
23,16693,Male,Yes,Single,64,No
14,25033,Male,Yes,Single,76,No
14,25033,Male,Yes,Single,76,No
14,25033,Male,Yes,Single,76,No
12,220075,Male,Yes,Married,105,No
12,220075,Male,Yes,Married,105,No
19,205375,Male,Yes,Married,33,No
19,205375,Male,Yes,Married,33,No
77,181349,Female,Yes,Single,74,No
77,181349,Female,Yes,Single,74,No
50,158533,Male,Yes,Single,93,No
50,158533,Male,Yes,Single,93,No
14,144056,Female,No,Single,2,No
14,144056,Female,No,Single,2,No
35,13296,Female,Yes,Married,72,No
35,13296,Female,Yes,Married,72,No
35,13296,Female,Yes,Married,72,No
37,35889,Female,Yes,Single,72,No
37,35889,Female,Yes,Single,72,No
37,35889,Female,Yes,Single,72,No
22,129356,Female,No,Single,51,No
22,129356,Female,No,Single,51,No
22,129356,Female,No,Single,51,No
21,96991,Female,Yes,Single,80,No
21,96991,Female,Yes,Single,80,No
48,190234,Male,Yes,Married,78,No
48,190234,Male,Yes,Married,78,No
28,82290,Female,Yes,Single,9,No
62,111475,Male,Yes,Single,9,No
62,111475,Male,Yes,Single,9,No
39,198574,Female,Yes,Married,89,No
39,198574,Female,Yes,Married,89,No
34,44997,Female,Yes,Single,57,No
34,44997,Female,Yes,Single,57,No
18,46968,Female,Yes,Married,49,Yes
18,46968,Female,Yes,Married,49,Yes
18,46968,Female,Yes,Married,49,Yes
37,111251,Female,Yes,Married,28,No
37,111251,Female,Yes,Married,28,No
78,88435,Female,Yes,Single,46,No
23,9676,Female,Yes,Married,98,No
23,9676,Female,Yes,Married,98,No
70,108070,Female,Yes,Married,58,Yes
70,108070,Female,Yes,Married,58,Yes
47,195169,Male,Yes,Married,18,No
47,195169,Male,Yes,Married,18,No
31,38636,Male,Yes,Single,117,No
31,38636,Male,Yes,Single,117,No
28,190018,Male,Yes,Single,55,No
28,190018,Male,Yes,Single,55,No
28,190018,Male,Yes,Single,55,No
51,114215,Female,Yes,Single,95,No
51,114215,Female,Yes,Single,95,No
33,61229,Female,Yes,Single,117,No
33,61229,Female,Yes,Single,117,No
20,209653,Male,Yes,Single,67,No
20,209653,Male,Yes,Single,67,No
20,209653,Male,Yes,Single,67,No
14,56077,Female,Yes,Married,35,No
14,56077,Female,Yes,Married,35,No
62,198133,Male,Yes,Single,85,No
62,198133,Male,Yes,Single,85,No
39,35232,Female,Yes,Single,45,No
39,35232,Female,Yes,Single,45,No
13,12416,Male,Yes,Married,64,No
13,12416,Male,Yes,Married,64,No
13,12416,Male,Yes,Married,64,No
61,154472,Female,Yes,Single,115,No
61,154472,Female,Yes,Single,115,No
74,75713,Female,No,Married,46,No
74,75713,Female,No,Married,46,No
74,75713,Female,No,Married,46,No
49,107854,Male,Yes,Single,35,No
49,107854,Male,Yes,Single,35,No
19,236419,Male,No,Married,112,No
19,236419,Male,No,Married,112,No
26,162588,Female,Yes,Single,25,No
26,162588,Female,Yes,Single,25,No
35,223914,Male,No,Married,14,No
35,223914,Male,No,Married,14,No
13,61012,Female,Yes,Married,95,No
13,61012,Female,Yes,Married,95,No
13,61012,Female,Yes,Married,95,No
21,9011,Female,No,Single,113,No
21,9011,Female,No,Single,113,No
34,180252,Female,No,Married,44,No
34,180252,Female,No,Married,44,No
32,125295,Male,Yes,Single,73,No
32,125295,Male,Yes,Single,73,No
32,125295,Male,Yes,Single,73,No
27,15380,Male,Yes,Single,11,No
27,15380,Male,Yes,Single,11,No
55,49492,Female,Yes,Single,113,No
55,49492,Female,Yes,Single,113,No
31,92930,Female,Yes,Married,102,No
31,92930,Female,Yes,Married,102,No
29,37972,Male,Yes,Single,12,No
29,37972,Male,Yes,Single,12,No
48,102255,Male,Yes,Married,110,No
48,102255,Male,Yes,Married,110,No
16,186397,Male,No,Single,81,No
16,186397,Male,No,Single,81,No
24,215358,Female,Yes,Married,101,No
24,215358,Female,Yes,Married,101,No
24,215358,Female,Yes,Married,101,No
24,182992,Male,Yes,Married,10,No
24,182992,Male,Yes,Married,10,No
78,81417,Male,Yes,Single,80,No
78,81417,Male,Yes,Single,80,No
78,81417,Male,Yes,Single,80,No
18,29416,Male,Yes,Single,98,No
18,29416,Male,Yes,Single,98,No
30,156996,Female,Yes,Married,58,No
30,156996,Female,Yes,Married,58,No
76,244094,Male,Yes,Married,18,No
76,244094,Male,Yes,Married,18,No
29,113334,Male,Yes,Single,88,No
29,113334,Male,Yes,Single,88,No
48,177617,Female,Yes,Married,66,Yes
48,177617,Female,Yes,Married,66,Yes
12,163140,Male,Yes,Single,96,Yes
12,163140,Male,Yes,Single,96,Yes
56,206578,Male,Yes,Single,85,No
56,206578,Male,Yes,Single,85,No
20,192101,Female,Yes,Married,115,No
20,192101,Female,Yes,Married,115,No
32,15,Male,Yes,Married,75,No
32,15,Male,Yes,Married,75,No
21,203397,Female,No,Married,115,No
21,203397,Female,No,Married,115,No
37,180357,Male,No,Married,32,No
37,180357,Male,No,Married,32,No
37,180357,Male,No,Married,32,No
53,156555,Male,Yes,Single,54,No
53,156555,Male,Yes,Single,54,No
21,241459,Male,Yes,Married,41,No
21,241459,Male,Yes,Married,41,No
29,9124,Male,Yes,Married,60,No
29,9124,Male,Yes,Married,60,No
29,9124,Male,Yes,Married,60,No
19,235098,Female,No,Single,101,No
19,235098,Female,No,Single,101,No
13,81522,Female,Yes,Single,68,No
13,81522,Female,Yes,Single,68,No
61,223578,Female,Yes,Married,119,No
61,223578,Female,Yes,Married,119,No
70,34904,Female,Yes,Single,109,Yes
70,34904,Female,Yes,Single,109,Yes
70,34904,Female,Yes,Single,109,Yes
14,92818,Male,Yes,Single,68,No
14,92818,Male,Yes,Single,68,No
12,37861,Male,Yes,Married,98,No
12,37861,Male,Yes,Married,98,No
33,157101,Male,Yes,Married,47,No
33,157101,Male,Yes,Married,47,No
64,131328,Male,No,Single,77,No
64,131328,Male,No,Single,77,No
64,98963,Male,Yes,Single,106,No
64,98963,Male,Yes,Single,106,No
51,8683,Female,Yes,Married,56,No
51,8683,Female,Yes,Married,56,No
35,59251,Female,Yes,Single,79,No
35,59251,Female,Yes,Single,79,No
33,4294,Female,No,Single,108,No
33,4294,Female,No,Single,108,No
30,155675,Female,Yes,Single,47,No
30,155675,Female,Yes,Single,47,No
43,76916,Female,Yes,Married,98,Yes
43,76916,Female,Yes,Married,98,Yes
25,83060,Male,Yes,Single,16,No
25,83060,Male,Yes,Single,16,No
12,173115,Male,No,Single,84,No
12,173115,Male,No,Single,84,No
22,245738,Male,Yes,Married,74,No
22,245738,Male,Yes,Married,74,No
43,114978,Male,No,Married,24,Yes
43,114978,Male,No,Married,24,Yes
32,68360,Male,Yes,Married,64,No
32,68360,Male,Yes,Married,64,No
46,897,Female,No,Single,116,Yes
46,897,Female,No,Single,116,Yes
20,207011,Male,Yes,Married,44,No
20,207011,Male,Yes,Married,44,No
20,207011,Male,Yes,Married,44,No
53,236196,Male,No,Married,44,No
53,236196,Male,No,Married,44,No
28,18337,Male,Yes,Single,33,No
28,18337,Male,Yes,Single,33,No
77,171690,Female,Yes,Married,84,No
77,171690,Female,Yes,Married,84,No
30,40930,Female,Yes,Single,34,No
30,40930,Female,Yes,Single,34,No
66,125072,Male,Yes,Married,5,No
66,125072,Male,Yes,Married,5,No
17,189354,Female,Yes,Single,103,No
17,189354,Female,Yes,Single,103,No
17,189354,Female,Yes,Single,103,No
46,28424,Female,Yes,Married,56,No
46,28424,Female,Yes,Married,56,No
40,113552,Female,Yes,Single,23,No
40,113552,Female,Yes,Single,23,No
77,2651,Male,Yes,Single,86,No
77,2651,Male,Yes,Single,86,No
20,5608,Female,Yes,Married,74,No
20,5608,Female,Yes,Married,74,No
17,200650,Male,No,Single,104,No
17,200650,Male,No,Single,104,No
55,89750,Female,Yes,Single,46,No
55,89750,Female,Yes,Single,46,No
30,121891,Male,No,Married,35,No
30,121891,Male,No,Married,35,No
28,66934,Male,Yes,Single,64,Yes
28,66934,Male,Yes,Single,64,Yes
45,65724,Female,No,Married,86,No
45,65724,Female,No,Married,86,No
71,44879,Female,Yes,Single,97,No
71,44879,Female,Yes,Single,97,No
71,44879,Female,Yes,Single,97,No
22,190123,Male,Yes,Married,77,No
22,190123,Male,Yes,Married,77,No
50,224236,Female,Yes,Married,59,No
50,224236,Female,Yes,Married,59,No
45,114321,Male,Yes,Married,117,No
45,114321,Male,Yes,Married,117,No
24,212716,Female,Yes,Single,77,No
24,212716,Female,Yes,Single,77,No
24,212716,Female,Yes,Single,77,No
17,26013,Male,No,Single,60,No
17,26013,Male,No,Single,60,No
15,221055,Female,Yes,Married,89,No
15,221055,Female,Yes,Married,89,No
18,59140,Female,No,Married,45,No
18,59140,Female,No,Married,45,No
35,68465,Male,Yes,Married,53,No
35,68465,Male,Yes,Married,53,No
75,61118,Male,Yes,Single,116,No
75,61118,Male,Yes,Single,116,No
50,93259,Female,No,Married,105,No
50,93259,Female,No,Married,105,No
50,93259,Female,No,Married,105,No
26,125401,Male,Yes,Single,95,No
26,125401,Male,Yes,Single,95,No
67,80754,Female,No,Single,8,No
67,80754,Female,No,Single,8,No
67,80754,Female,No,Single,8,No
36,209319,Female,Yes,Single,85,No
36,209319,Female,Yes,Single,85,No
77,164672,Male,Yes,Married,118,No
77,164672,Male,Yes,Married,118,No
28,228955,Male,No,Single,96,No
28,228955,Male,No,Single,96,No
34,121996,Female,Yes,Married,23,No
34,121996,Female,Yes,Married,23,No
25,141632,Male,Yes,Married,35,No
25,141632,Male,Yes,Married,35,No
17,171802,Male,Yes,Married,32,No
17,171802,Male,Yes,Married,32,No
17,171802,Male,Yes,Married,32,No
39,62873,Female,Yes,Single,86,No
39,62873,Female,Yes,Single,86,No
18,183098,Female,Yes,Married,32,No
18,183098,Female,Yes,Married,32,No
33,159297,Female,Yes,Married,54,No
33,159297,Female,Yes,Married,54,No
31,104339,Female,Yes,Single,83,No
31,104339,Female,Yes,Single,83,No
19,194394,Female,Yes,Single,32,No
